Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=690;4*a(1)""","",0,6257,3439,1605632,425,1,0,7,28725
"bc -le ""scale=690;4*a(1)""","",0,6278,3460,1605632,425,1,0,5,28383
"bc -le ""scale=690;4*a(1)""","",0,6272,2930,1605632,425,1,0,7,28555
"bc -le ""scale=690;4*a(1)""","",0,6269,3236,1605632,425,1,0,5,28399
"bc -le ""scale=690;4*a(1)""","",0,6265,3431,1605632,425,1,0,6,28346
"bc -le ""scale=690;4*a(1)""","",0,6268,3454,1605632,425,1,0,7,28465
"bc -le ""scale=690;4*a(1)""","",0,6287,2367,1605632,425,1,0,7,28667
"bc -le ""scale=690;4*a(1)""","",0,6259,3475,1605632,425,1,0,8,28636
"bc -le ""scale=690;4*a(1)""","",0,6282,3350,1605632,425,1,0,8,28680
"bc -le ""scale=690;4*a(1)""","",0,6279,3306,1605632,425,1,0,7,28317
"bc -le ""scale=690;4*a(1)""","",0,6283,3346,1605632,425,1,0,8,28440
